ID,SiteName,Address,Lat,Long,SiteType,NiceSiteType,PlugTypes,AvailableCount,TotalPorts,IsPlannedSite,RequireCable,Costs
27,RAA Charge RAA Shop Mile End,"101 Richmond Road, Mile End SA 5031",-34.941584,138.5735614,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
28,RAA Charge Tintinara,"13 Dukes Highway, Tintinara SA 5266",-35.885894,140.058336,200,Charging up to 200kW,"CHAdeMO, CCS2",4,4,False,No ports require a cable,
29,RAA Charge Fifteenth Street,"143 Fifteenth Street, Renmark SA 5341",-34.173861,140.7488962,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
30,RAA Charge Mount Gambier Hotel,"2 Commercial Street West, Mount Gambier SA 5290",-37.828115,140.7807536,7,Charging at 7kW,Type 2,1,2,False,No ports require a cable,
31,RAA Charge Tea Tree Plaza Park 'n' Ride," Smart Road, Modbury SA 5092",-34.831217,138.695039,7,Charging at 7kW,Type 2,8,8,False,All ports require a cable,
32,RAA Charge Marla Travellers Rest,"1 Stuart Highway, Marla SA 5724",-27.303731,133.6232384,7,Charging at 7kW,Type 2,2,3,False,Some ports require a cable,
33,RAA Charge Port Pirie,"3 Mary Elie Street, Port Pirie SA 5540",-33.180735,138.0114427,200,Charging up to 200kW,"CCS2, CHAdeMO, Type 2",9,9,False,Some ports require a cable,
34,RAA Charge Transmutation,"14 Flint Street, Robe SA 5276",-37.172456,139.7597921,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
35,RAA Charge UPark Central Market,"Level 1, 25-29 Grote St, Adelaide SA 5000",-34.929273,138.5969551,7,Charging up to 22kW,Type 2,8,11,False,Some ports require a cable,
36,RAA Charge Normanville,"83 Andrew Avenue, Normanville SA 5204",-35.447155,138.3184545,150,Charging up to 150kW,"CCS2, Type 2",2,3,False,Some ports require a cable,
37,RAA Charge Clare,"15 Gleeson Street, Clare SA 5453",-33.834356,138.6104246,200,Charging up to 200kW,"CCS2, CHAdeMO, Type 2",4,6,False,Some ports require a cable,
38,RAA Charge Port Augusta North," Wharflands Esplanade, Port Augusta SA 5700",-32.489525,137.7610399,200,Charging up to 200kW,"CCS2, CHAdeMO, Type 2",4,5,False,Some ports require a cable,
39,RAA Charge Kingston Lobster Motel,"4 Princes Highway, Kingston SE SA 5275",-36.824344,139.8630358,7,Charging at 7kW,Type 2,4,4,False,No ports require a cable,
40,RAA Charge Naracoorte,"26 Robertson Street, Naracoorte SA 5271",-36.956911,140.7437517,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,No ports require a cable,
41,RAA Charge Nuriootpa,"1 Murray Street, Nuriootpa SA 5355",-34.474935,138.9934734,150,Charging up to 150kW,CCS2,2,2,False,No ports require a cable,
42,RAA Charge Lakeview Motel,"2 Lakeside Terrace, Robe SA 5276",-37.168871,139.7682005,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
43,RAA Charge Port Lincoln,"2 Eyre Street, Port Lincoln SA 5606",-34.722394,135.8629354,150,Charging up to 150kW,CCS2,2,2,False,No ports require a cable,
44,RAA Charge Woodside,"3 Tiers Road, Woodside SA 5244",-34.952712,138.8741842,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,Some ports require a cable,
45,RAA Charge Monarto Safari Park,"63 Monarto Road, Rocky Gully SA 5254",-35.087032,139.1623994,7,Charging at 7kW,Type 2,2,4,False,All ports require a cable,
46,RAA Charge Crossroads Ecomotel,"43 Eyre Highway, Port Augusta West SA 5700",-32.481158,137.7545332,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
47,RAA Charge Lakes Resort Hotel,"141 Brebner Drive, West Lakes SA 5021",-34.879979,138.4889958,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
48,RAA Charge Auto Park Young Street,"16-30 Young Street, Adelaide SA 5000",-34.926679,138.5961385,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
49,RAA Charge Jamestown,"66 Irvine Street, Jamestown SA 5491",-33.206118,138.6053114,150,Charging up to 150kW,"CCS2, Type 2",3,4,False,Some ports require a cable,
50,RAA Charge Arkaba Hotel,"150 Glen Osmond Road, Fullarton SA 5063",-34.947087,138.6256538,7,Charging up to 22kW,Type 2,1,2,False,All ports require a cable,$0.30 - $0.37/kWh
51,RAA Charge Mt Barker,"6 Dutton Road, Mount Barker SA 5251",-35.067875,138.865237,200,Charging up to 200kW,"Type 2, CCS2, CHAdeMO",4,5,False,No ports require a cable,
52,RAA Charge Grosvenor Gardens," Stuart Street, Victor Harbor SA 5211",-35.553718,138.6219967,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
53,RAA Charge Cowell,"9 Jetty Road, Cowell SA 5602",-33.68519,136.9290181,150,Charging up to 150kW,CCS2,2,2,False,No ports require a cable,
54,RAA Charge Port Wakefield,"29 Burra Street, Port Wakefield SA 5550",-34.186052,138.1465931,150,Charging up to 150kW,"CCS2, Type 2",4,4,False,Some ports require a cable,
